ID,ndtv_tn_wordnet
285,"[['miniskirt', 'case', 0.631578947368421], ['model', 'possibility', 0.9411764705882353], ['apple', 'case', 0.5555555555555556], ['model', 'possibility', 0.9411764705882353], ['establish', 'show', 1.0], ['report', 'statement', 0.8], ['one-half', 'unit_of_measurement', 0.5], ['company', 'party', 1.0], ['year', 'congress', 0.7692307692307693], ['display', 'show', 1.0], ['panel', 'network', 0.8], ['china', 'state', 0.8888888888888888], ['stack', 'battalion', 0.8333333333333334], ['rumor', 'statement', 0.7058823529411765], ['review', 'case', 0.8888888888888888], ['processor', 'television', 0.8], ['narrow', 'channels', 0.8333333333333334], ['iteration', 'entertainment', 0.7058823529411765], ['g', 'unit_of_measurement', 0.8333333333333334], ['recent', 'state', 0.5454545454545454], ['past', 'case', 0.8], ['times', 'case', 0.9230769230769231], ['report', 'statement', 0.8], ['pixel', 'wake', 0.5], ['jack', 'hands', 0.9565217391304348], ['earphone', 'hands', 0.6666666666666666], ['debut', 'statement', 0.75], ['apple', 'case', 0.5555555555555556], ['event', 'case', 1.0], ['ascent', 'air', 0.8421052631578947], ['apparatus', 'network', 0.75], ['interface', 'poll', 0.8], ['gear', 'network', 0.75], ['first', 'former', 0.9333333333333333], ['taiwan', 'wake', 0.8333333333333334], ['spring', 'get', 0.8], ['remember', 'think', 1.0], ['double', 'value', 0.7619047619047619], ['specification', 'picture', 0.8571428571428571], ['expect', 'see', 0.8888888888888888], ['back', 'case', 0.8235294117647058], ['successor', 'party', 0.7058823529411765], ['host', 'alliance', 0.8333333333333334], ['introduction', 'statement', 0.8], ['familiar', 'party', 0.7058823529411765], ['put', 'guess', 0.8888888888888888], ['sport', 'entertainment', 0.875], ['last', 'unit_of_measurement', 0.8333333333333334], ['manufacturer', 'alliance', 0.7142857142857143], ['analyst', 'party', 0.7058823529411765], ['camera', 'television', 0.7619047619047619], ['upgrade', 'statement', 0.8235294117647058], ['size', 'things', 0.8333333333333334], ['unveiled', 'choice', 0.4], ['predict', 'guess', 0.8888888888888888], ['feature', 'picture', 0.9411764705882353], ['solution', 'statement', 0.9090909090909091], ['expect', 'see', 0.8888888888888888], ['time', 'case', 0.9230769230769231], ['uncover', 'choice', 0.5], ['mention', 'award', 0.9230769230769231], ['propose', 'offer', 1.0]]"
286,"[['lady', 'image', 0.6666666666666666], ['president', 'image', 0.6666666666666666], ['berra', 'berra', 1.0], ['wife', 'image', 0.6666666666666666], ['confluence', 'confluence', 1.0], ['first', 'point', 0.8888888888888888], ['greet', 'network', 0.75], ['area', 'space', 0.9333333333333333], ['official', 'image', 0.7058823529411765], ['airplane', 'ferry', 0.75], ['river', 'river', 1.0], ['participate', 'satellite', 0.5], ['perform', 'make', 0.6666666666666666], ['welcome', 'picture', 0.7692307692307693], ['curate', 'image', 0.631578947368421], ['airport', 'facility', 0.8571428571428571], ['cabinet', 'transport', 0.75], ['reach', 'make', 1.0], ['health', 'comforts', 0.8333333333333334], ['head', 'point', 1.0], ['deputy', 'image', 0.6666666666666666], ['air', 'satellite', 0.9333333333333333], ['force', 'congregation', 0.8], ['particular', 'fact', 0.9230769230769231], ['curate', 'image', 0.631578947368421], ['state', 'point', 0.8888888888888888], ['election', 'change', 0.8], ['election', 'change', 0.8], ['indian', 'indian', 1.0], ['update', 'show', 0.8], ['agenda', 'fact', 0.75], ['chirrup', 'chink', 0.8571428571428571], ['seating', 'comforts', 0.8235294117647058], ['general', 'fact', 0.9230769230769231], ['get', 'capture', 1.0], ['news', 'show', 0.8571428571428571], ['populate', 'pack', 0.6666666666666666]]"
287,"[['battery', 'battalion', 0.8421052631578947], ['plant', 'lead', 0.9090909090909091], ['toyota', 'land', 0.7777777777777778], ['electric', 'medium', 0.631578947368421], ['model', 'display', 0.875], ['model', 'display', 0.875], ['hybrid', 'african', 0.8], ['gujarat', 'land', 0.8235294117647058], ['junior_varsity', 'land', 0.75], ['pavilion', 'pavilion', 1.0], ['supply', 'offer', 0.8571428571428571], ['chiefly', 'chiefly', 1.0], ['exhibition', 'exhibition', 1.0], ['vibrant', 'vibrant', 1.0], ['venture', 'business', 0.9473684210526315], ['cent', 'sector', 0.6666666666666666], ['first', 'first', 1.0], ['use', 'business', 0.8571428571428571], ['joint', 'contact', 0.8888888888888888], ['wagon', 'medium', 0.75], ['hatchback', 'medium', 0.631578947368421], ['franchise', 'business', 0.9333333333333333], ['car_manufacturer', 'manufacturer', 0.9411764705882353], ['partner', 'african', 0.75], ['invest', 'offer', 0.6666666666666666], ['corolla', 'sector', 0.5714285714285714], ['batting_order', 'offer', 0.5714285714285714], ['mobility', 'air', 0.8], ['mendelevium', 'lead', 0.8], ['suit', 'separate', 0.9], ['use', 'business', 0.8571428571428571], ['battery', 'battalion', 0.8421052631578947], ['put', 'show', 0.8888888888888888], ['export', 'merchandise', 0.8571428571428571], ['motor', 'display', 0.7777777777777778], ['brief', 'show', 0.7272727272727273], ['show', 'show', 1.0], ['replace', 'air', 0.6666666666666666], ['reappraisal', 'experience', 0.5333333333333333], ['invest', 'offer', 0.6666666666666666], ['car', 'keep', 0.8], ['roll', 'chink', 0.8571428571428571], ['interest', 'part', 0.9230769230769231], ['channel', 'channels', 1.0], ['fabrication', 'show', 0.8], ['keep', 'keep', 1.0], ['production', 'exhibition', 0.9565217391304348], ['possibility', 'part', 0.875], ['spend', 'offer', 0.5714285714285714], ['visit', 'see', 1.0], ['facility', 'service', 0.9411764705882353], ['car', 'keep', 0.8], ['crore', 'sixteen', 0.875], ['test', 'part', 0.875], ['ballad', 'air', 0.7142857142857143], ['put', 'show', 0.8888888888888888]]"
288,"[['battery', 'battalion', 0.8421052631578947], ['plant', 'lead', 0.9090909090909091], ['toyota', 'land', 0.7777777777777778], ['electric', 'medium', 0.631578947368421], ['model', 'display', 0.875], ['model', 'display', 0.875], ['hybrid', 'african', 0.8], ['gujarat', 'land', 0.8235294117647058], ['junior_varsity', 'land', 0.75], ['pavilion', 'pavilion', 1.0], ['supply', 'offer', 0.8571428571428571], ['chiefly', 'chiefly', 1.0], ['exhibition', 'exhibition', 1.0], ['vibrant', 'vibrant', 1.0], ['venture', 'business', 0.9473684210526315], ['cent', 'sector', 0.6666666666666666], ['first', 'first', 1.0], ['use', 'business', 0.8571428571428571], ['joint', 'contact', 0.8888888888888888], ['wagon', 'medium', 0.75], ['hatchback', 'medium', 0.631578947368421], ['franchise', 'business', 0.9333333333333333], ['car_manufacturer', 'manufacturer', 0.9411764705882353], ['partner', 'african', 0.75], ['invest', 'offer', 0.6666666666666666], ['corolla', 'sector', 0.5714285714285714], ['batting_order', 'offer', 0.5714285714285714], ['mobility', 'air', 0.8], ['mendelevium', 'lead', 0.8], ['suit', 'separate', 0.9], ['use', 'business', 0.8571428571428571], ['battery', 'battalion', 0.8421052631578947], ['put', 'show', 0.8888888888888888], ['export', 'merchandise', 0.8571428571428571], ['motor', 'display', 0.7777777777777778], ['brief', 'show', 0.7272727272727273], ['show', 'show', 1.0], ['replace', 'air', 0.6666666666666666], ['reappraisal', 'experience', 0.5333333333333333], ['invest', 'offer', 0.6666666666666666], ['car', 'keep', 0.8], ['roll', 'chink', 0.8571428571428571], ['interest', 'part', 0.9230769230769231], ['channel', 'channels', 1.0], ['fabrication', 'show', 0.8], ['keep', 'keep', 1.0], ['production', 'exhibition', 0.9565217391304348], ['possibility', 'part', 0.875], ['spend', 'offer', 0.5714285714285714], ['visit', 'see', 1.0], ['facility', 'service', 0.9411764705882353], ['car', 'keep', 0.8], ['crore', 'sixteen', 0.875], ['test', 'part', 0.875], ['ballad', 'air', 0.7142857142857143], ['put', 'show', 0.8888888888888888]]"
289,"[['button', 'last', 0.8235294117647058], ['call', 'beckon', 0.9], ['group', 'division', 0.75], ['android', 'last', 0.7368421052631579], ['version', 'record', 0.8571428571428571], ['voice', 'road', 0.875], ['video', 'record', 0.8571428571428571], ['tray', 'last', 0.6666666666666666], ['contact', 'experience', 0.8333333333333334], ['chat', 'continue', 0.7272727272727273], ['arrive', 'come', 1.0], ['play', 'last', 0.8571428571428571], ['shop', 'office', 0.8421052631578947], ['pat', 'stay', 0.7692307692307693], ['descry', 'cold', 0.3333333333333333], ['google', 'degree', 0.5], ['corner', 'conditions', 0.7692307692307693], ['user', 'image', 0.75], ['have', 'experience', 1.0], ['card_game', 'last', 0.8], ['add', 'state', 0.8], ['calendar_month', 'night', 0.8333333333333334], ['name', 'image', 0.6666666666666666], ['first', 'degree', 0.875], ['give', 'state', 0.8], ['start', 'morning', 0.9333333333333333], ['last', 'last', 1.0], ['procedure', 'conditions', 0.9333333333333333], ['folks', 'town', 0.6666666666666666], ['beta', 'degree', 0.625], ['hit', 'record', 0.8421052631578947], ['tap', 'file', 0.8421052631578947], ['io', 'image', 0.6], ['malfunction', 'experience', 0.7692307692307693], ['functionality', 'image', 0.6153846153846154], ['download', 'cold', 0.3333333333333333], ['add', 'state', 0.8], ['member', 'office', 0.8], ['make', 'come', 0.8], ['podcast', 'conditions', 0.5714285714285714], ['back', 'stay', 0.8], ['recipient', 'image', 0.7058823529411765], ['incorporate', 'cold', 0.4], ['incorporate', 'cold', 0.4], ['weekly', 'image', 0.6], ['apple', 'image', 0.5454545454545454], ['screen', 'last', 0.7368421052631579], ['participant', 'image', 0.7058823529411765], ['top', 'degree', 0.9090909090909091], ['stable', 'office', 0.6666666666666666], ['look', 'conditions', 0.8333333333333334], ['simple', 'image', 0.75], ['episode', 'experience', 0.8333333333333334], ['repair', 'conditions', 0.9090909090909091], ['finally', 'last', 1.0], ['roentgen', 'degree', 0.6666666666666666], ['introduce', 'state', 0.8], ['make', 'come', 0.8]]"
290,"[['beltway', 'beltway', 1.0], ['carry_through', 'complete', 0.8888888888888888], ['tourist', 'best', 0.7058823529411765], ['undertaking', 'undertaking', 1.0], ['secretary', 'best', 0.6666666666666666], ['curate', 'curate', 1.0], ['state', 'town', 0.875], ['power', 'event', 0.8571428571428571], ['come', 'see', 0.8571428571428571], ['autopsy', 'undertaking', 0.7777777777777778], ['declare', 'undertaking', 0.75], ['state', 'town', 0.875], ['open', 'air', 0.7692307692307693], ['travel', 'travel', 1.0], ['arrive', 'visit', 0.5], ['give', 'visit', 0.8888888888888888], ['arrival', 'contact', 0.8], ['add', 'include', 0.8888888888888888], ['bridges', 'bridge', 1.0], ['development', 'lead', 0.8571428571428571], ['crore', 'crore', 1.0], ['procrastinate', 'visit', 0.2857142857142857], ['finish', 'complete', 1.0], ['chief', 'best', 0.7058823529411765], ['subsequently', 'subsequently', 1.0], ['length', 'hours', 0.7272727272727273], ['airplane', 'launch', 0.72], ['gain', 'lead', 0.8571428571428571], ['unveiled', 'unveiled', 1.0], ['completion', 'travel', 0.8421052631578947], ['visit', 'visit', 1.0], ['inaugurate', 'visit', 0.4], ['delayed', 'reduce', 0.6666666666666666], ['sense', 'see', 0.75], ['promise', 'read', 0.9090909090909091], ['waste', 'service', 0.8571428571428571], ['travel', 'travel', 1.0], ['recovery', 'event', 0.8], ['promise', 'read', 0.9090909090909091], ['inauguration', 'inauguration', 1.0], ['development', 'lead', 0.8571428571428571], ['meter', 'bridge', 0.7368421052631579], ['amount', 'value', 0.8571428571428571], ['tourism', 'traffic', 0.8421052631578947], ['cut', 'reduce', 1.0], ['roads', 'beltway', 0.875], ['prosecute', 'visit', 0.5], ['affiliated', 'assorted', 1.0], ['welcome', 'offer', 0.6666666666666666], ['traffic', 'traffic', 1.0], ['flood', 'travel', 0.8421052631578947], ['social_welfare', 'cost', 0.625], ['common', 'town', 0.7058823529411765], ['crime', 'service', 0.75], ['exchange', 'traffic', 0.8888888888888888], ['banks', 'facility', 0.8571428571428571]]"
291,"[['cost', 'heritage', 0.7692307692307693], ['crore', 'lead', 0.6666666666666666], ['roentgen', 'ancient', 0.6666666666666666], ['inaugurate', 'ancient', 0.4], ['line', 'undertaking', 0.875], ['kilometer', 'last', 0.6666666666666666], ['double', 'rally', 0.8], ['autopsy', 'attention', 0.7777777777777778], ['road', 'stairs', 0.8], ['construct', 'claim', 0.8235294117647058], ['bridge', 'back', 0.8888888888888888], ['line', 'undertaking', 0.875], ['complete', 'people', 0.5714285714285714], ['give', 'state', 0.8], ['railway', 'piece', 0.7142857142857143], ['chief', 'ancient', 0.7058823529411765], ['deserving', 'deserving', 1.0], ['undertaking', 'undertaking', 1.0], ['linkage', 'travel', 0.7], ['renovation', 'preservation', 0.7692307692307693], ['group', 'batch', 0.9090909090909091], ['cross', 'take', 0.8571428571428571], ['memorial', 'club', 0.8], ['state', 'state', 1.0], ['logistics', 'last', 0.8], ['electrification', 'last', 0.8], ['batch', 'batch', 1.0], ['part', 'piece', 1.0], ['besides', 'besides', 1.0], ['flag', 'club', 0.9], ['destroy', 'ancient', 0.5], ['park', 'club', 0.75], ['permanent', 'piece', 0.47058823529411764], ['establish', 'undertaking', 0.75], ['track', 'lead', 1.0], ['path', 'stairs', 0.8], ['flood', 'batch', 0.9230769230769231], ['work', 'bring', 1.0], ['train', 'take', 1.0]]"
292,"[['cost', 'cover', 0.8235294117647058], ['inaugurate', 'open', 0.8571428571428571], ['line', 'front', 0.9333333333333333], ['roentgen', 'individual', 0.7058823529411765], ['kilometer', 'bath', 0.625], ['double', 'individual', 0.8], ['road', 'drive', 0.9333333333333333], ['construct', 'believe', 0.6666666666666666], ['autopsy', 'duty', 0.7777777777777778], ['bridge', 'cover', 0.8571428571428571], ['line', 'front', 0.9333333333333333], ['complete', 'perform', 0.8], ['give', 'return', 1.0], ['railway', 'cover', 0.7142857142857143], ['chief', 'individual', 0.75], ['linkage', 'transport', 0.75], ['renovation', 'bath', 0.8181818181818182], ['group', 'congregation', 0.75], ['cross', 'cover', 1.0], ['memorial', 'horse', 0.75], ['state', 'government', 0.9333333333333333], ['logistics', 'sin', 0.8], ['electrification', 'sin', 0.8], ['batch', 'million', 0.8333333333333334], ['part', 'position', 0.9473684210526315], ['flag', 'horse', 0.8], ['destroy', 'million', 0.5], ['park', 'drive', 0.8421052631578947], ['permanent', 'cover', 0.7058823529411765], ['path', 'drive', 0.8], ['path', 'drive', 0.8], ['flood', 'return', 0.8421052631578947], ['work', 'duty', 0.9333333333333333], ['train', 'take', 1.0], ['juncture', 'return', 0.7142857142857143], ['construct', 'believe', 0.6666666666666666], ['rock', 'cover', 0.8333333333333334], ['week', 'march', 0.7142857142857143]]"
293,"[['reservation', 'land', 0.875], ['gujarat', 'gujarat', 1.0], ['cent', 'bill', 0.7368421052631579], ['examination', 'channels', 0.8571428571428571], ['economically', 'economically', 1.0], ['law', 'fundamental_law', 0.9411764705882353], ['government', 'government', 1.0], ['fundamental_law', 'fundamental_law', 1.0], ['court', 'government', 0.9333333333333333], ['state', 'land', 1.0], ['regulation', 'section', 0.875], ['postpone', 'economically', 0.2857142857142857], ['procedure', 'occupation', 0.8571428571428571], ['implement', 'enforce', 1.0], ['educational', 'educational', 1.0], ['amendment', 'amendment', 1.0], ['january', 'date', 0.8], ['benefit', 'help', 0.8571428571428571], ['introduce', 'give', 0.8], ['occupation', 'occupation', 1.0], ['footing', 'back', 0.8888888888888888], ['bill', 'bill', 1.0], ['court', 'government', 0.9333333333333333], ['service', 'help', 1.0], ['disenchant', 'economically', 0.2857142857142857], ['standard', 'value', 0.9230769230769231], ['move', 'reach', 0.9411764705882353], ['decide', 'economically', 0.5], ['pacify', 'give', 0.8], ['debut', 'institution', 0.9], ['admission', 'admission', 1.0], ['committee', 'section', 0.8235294117647058], ['ad', 'bill', 0.9230769230769231], ['argue', 'state', 0.6666666666666666], ['first', 'back', 0.8888888888888888], ['tweet', 'experience', 0.7142857142857143], ['confusion', 'state', 0.8], ['ceiling', 'back', 0.8235294117647058], ['order', 'state', 0.8888888888888888], ['selenium', 'lead', 0.8], ['see', 'see', 1.0], ['public', 'class', 0.8], ['cap', 'back', 0.875], ['reservation', 'land', 0.875], ['postpone', 'economically', 0.2857142857142857], ['exclusive', 'news', 0.8571428571428571], ['high', 'air', 0.7619047619047619], ['trash', 'offer', 0.7272727272727273], ['implement', 'enforce', 1.0], ['preliminary', 'experience', 0.7142857142857143], ['estate', 'estate', 1.0], ['print', 'network', 0.8571428571428571], ['back', 'back', 1.0], ['agitation', 'reach', 0.8888888888888888], ['use', 'occupation', 0.8571428571428571], ['equality', 'state', 0.8], ['caste', 'class', 0.9090909090909091], ['keep', 'pass', 0.7272727272727273], ['caste', 'class', 0.9090909090909091], ['ticket', 'pass', 0.9411764705882353], ['poverty', 'state', 0.7272727272727273], ['offer', 'offer', 1.0], ['give', 'give', 1.0], ['supply', 'provision', 1.0]]"
294,"[['philip', 'philip', 1.0], ['citation', 'mention', 1.0], ['leadership', 'lead', 0.9333333333333333], ['presidential', 'presidential', 1.0], ['statement', 'remark', 0.9090909090909091], ['result', 'lead', 1.0], ['fabrication', 'remark', 0.7692307692307693], ['university', 'jury', 0.8333333333333334], ['autopsy', 'service', 0.7777777777777778], ['service', 'service', 1.0], ['mention', 'mention', 1.0], ['social', 'company', 0.8], ['focus', 'back', 0.7692307692307693], ['position', 'back', 0.9411764705882353], ['progress', 'air', 0.8421052631578947], ['make', 'see', 0.8888888888888888], ['delegate', 'contact', 0.9090909090909091], ['accounting', 'service', 0.8235294117647058], ['inclusion', 'state', 0.8], ['designation', 'contact', 0.7058823529411765], ['professor', 'person', 0.631578947368421], ['selling', 'selling', 1.0], ['revolution', 'english', 0.8888888888888888], ['professional', 'back', 0.8571428571428571], ['owe', 'presidential', 0.5], ['hub', 'see', 0.8235294117647058], ['finish', 'complete', 1.0], ['ailment', 'desire', 0.75], ['startup', 'service', 0.7272727272727273], ['honor', 'award', 1.0], ['net_income', 'win', 0.8421052631578947], ['unite', 'presidential', 0.5], ['invention', 'service', 0.75], ['state', 'state', 1.0], ['triple', 'value', 0.7619047619047619], ['emerge', 'come', 0.6666666666666666], ['benefit', 'air', 0.7272727272727273], ['award', 'award', 1.0], ['quote', 'mention', 0.8888888888888888], ['enterprise', 'company', 0.8333333333333334], ['energy', 'state', 0.9230769230769231], ['read', 'see', 0.8], ['management', 'jury', 0.7692307692307693], ['technology', 'english', 0.8235294117647058], ['school', 'jury', 0.8333333333333334], ['health', 'state', 0.8], ['business', 'selling', 0.8888888888888888], ['premier', 'premier', 1.0], ['services', 'service', 1.0], ['finance', 'back', 0.8888888888888888], ['information', 'fact', 0.9090909090909091], ['state', 'state', 1.0], ['number', 'come', 1.0], ['universe', 'universe', 1.0], ['well', 'best', 1.0], ['give', 'offer', 0.8888888888888888], ['office', 'state', 0.8888888888888888], ['state', 'state', 1.0], ['centre', 'see', 0.875], ['state', 'state', 1.0], ['curate', 'curate', 1.0], ['leader', 'leader', 1.0], ['state', 'state', 1.0]]"
295,"[['guru', 'guru', 1.0]]"
296,"[['economically', 'economically', 1.0], ['article', 'section', 0.9230769230769231], ['section', 'section', 1.0], ['reservation', 'reservation', 1.0], ['bill', 'bill', 1.0], ['provision', 'supply', 1.0], ['class', 'education', 0.9333333333333333], ['institution', 'structure', 0.8571428571428571], ['amendment', 'amendment', 1.0], ['act', 'judgment', 0.9090909090909091], ['object', 'aim', 1.0], ['clause', 'section', 0.9230769230769231], ['state', 'education', 0.9230769230769231], ['employment', 'reservation', 0.9333333333333333], ['force', 'law', 0.9230769230769231], ['exist', 'economically', 0.5], ['addition', 'supply', 0.8], ['particular', 'general', 0.8571428571428571], ['post', 'occupation', 0.9333333333333333], ['read', 'report', 0.7272727272727273], ['section', 'section', 1.0], ['education', 'education', 1.0], ['schedule', 'bill', 0.875], ['subsection', 'section', 0.9090909090909091], ['incapacity', 'structure', 0.7272727272727273], ['enjoin', 'request', 0.9333333333333333], ['government', 'court', 0.9333333333333333], ['social', 'session', 0.75], ['gazette', 'last', 0.6], ['exploitation', 'occupation', 0.8], ['disadvantage', 'equality', 0.6153846153846154], ['amend', 'sign', 0.6666666666666666], ['parliament', 'parliament', 1.0], ['assent', 'pass', 0.8888888888888888], ['injustice', 'occupation', 0.8], ['index', 'bill', 0.875], ['introduce', 'give', 0.8], ['help', 'occupation', 0.8571428571428571], ['purpose', 'aim', 1.0], ['incorporate', 'economically', 0.4], ['reservation', 'reservation', 1.0], ['exclude', 'request', 0.7777777777777778], ['state', 'education', 0.9230769230769231], ['privilege', 'pass', 0.8], ['confer', 'nod', 0.5454545454545454], ['article', 'section', 0.9230769230769231], ['admission', 'section', 0.7777777777777778], ['directing', 'aim', 1.0], ['appointment', 'occupation', 0.9333333333333333], ['minority', 'equality', 0.7692307692307693], ['quota', 'percentage', 0.8571428571428571], ['form', 'section', 0.9230769230769231], ['classify', 'pass', 0.5714285714285714], ['resistance', 'pass', 0.8], ['principle', 'law', 0.9411764705882353], ['project', 'business', 0.8421052631578947], ['mandate', 'bill', 0.875], ['fair', 'bill', 0.782608695652174], ['opportunity', 'day', 0.9333333333333333], ['particular', 'general', 0.8571428571428571], ['time', 'day', 0.9230769230769231], ['power', 'sign', 0.875]]"
297,"[['terrorist', 'terrorist', 1.0], ['beginning', 'get_down', 1.0], ['force', 'force', 1.0], ['security', 'security', 1.0], ['village', 'district', 0.8571428571428571], ['kill', 'kill', 1.0], ['kashmir', 'site', 0.8], ['police', 'force', 0.9230769230769231], ['state', 'gas', 0.9333333333333333], ['get_down', 'get_down', 1.0], ['slain', 'slain', 1.0], ['determine', 'determine', 1.0], ['smoke', 'force', 0.75], ['clang', 'clang', 1.0], ['drive', 'force', 1.0], ['identity', 'identity', 1.0], ['internet', 'litter', 0.6666666666666666], ['hide', 'shell', 0.8], ['beginning', 'get_down', 1.0], ['trip', 'lead', 0.8421052631578947], ['representational', 'representational', 1.0], ['open_fire', 'open_fire', 1.0], ['young_person', 'suspect', 0.7058823529411765], ['mobile', 'district', 0.75], ['suspend', 'interrupt', 0.8571428571428571], ['use', 'use', 1.0], ['search', 'search', 1.0], ['brush', 'security', 0.8888888888888888], ['site', 'site', 1.0], ['presence', 'area', 0.75], ['district', 'district', 1.0], ['operation', 'operation', 1.0], ['services', 'force', 0.9230769230769231], ['information', 'report', 0.9090909090909091], ['south', 'site', 0.8], ['follow', 'determine', 0.6666666666666666], ['near', 'crowd', 0.8571428571428571], ['area', 'area', 1.0], ['add', 'lead', 0.75], ['district', 'district', 1.0], ['election', 'force', 0.75], ['election', 'force', 0.75], ['agenda', 'report', 0.7142857142857143], ['chirrup', 'clang', 0.8], ['seating', 'fuel', 0.75], ['general', 'commanding_officer', 0.8148148148148148], ['get', 'get_down', 1.0], ['news', 'report', 0.9230769230769231], ['live', 'suspect', 0.5], ['indian', 'suspect', 0.7058823529411765]]"
298,"[['festival', 'festival', 1.0], ['holy', 'topographic_point', 0.9230769230769231], ['time_period', 'festival', 0.9090909090909091], ['fly', 'way', 0.7692307692307693], ['kite', 'way', 0.7692307692307693], ['marks', 'saint', 0.9473684210526315], ['kite', 'way', 0.7692307692307693], ['crop', 'give', 0.8888888888888888], ['dip', 'dip', 1.0], ['know', 'way', 0.7058823529411765], ['hindu', 'chinese', 0.9], ['fan', 'host', 0.7777777777777778], ['falls', 'dip', 1.0], ['day', 'festival', 0.8333333333333334], ['get_down', 'beginning', 1.0], ['hindu', 'chinese', 0.9], ['river', 'drink', 0.7272727272727273], ['parts', 'start', 1.0], ['solstice', 'old', 0.6666666666666666], ['socialize', 'host', 0.75], ['pilgrimage', 'way', 0.9090909090909091], ['magh', 'festival', 0.7142857142857143], ['joy', 'fact', 0.7142857142857143], ['jaggery', 'wash', 0.5454545454545454], ['ganges', 'gather', 0.75], ['fill', 'dip', 0.75], ['bonfire', 'beginning', 0.7692307692307693], ['bathe', 'bathe', 1.0], ['seeded', 'drop', 0.6666666666666666], ['symbolism', 'type', 0.8333333333333334], ['surya', 'vishnu', 0.9], ['confluence', 'beginning', 0.7692307692307693], ['calendar', 'fact', 0.7142857142857143], ['take', 'return', 1.0], ['top', 'topographic_point', 0.9230769230769231], ['sweet', 'way', 0.7272727272727273], ['spring', 'give', 1.0], ['punjabi', 'chinese', 0.8571428571428571], ['twelve', 'million', 0.875], ['cycle', 'return', 0.875], ['type', 'type', 1.0], ['roof', 'drop', 0.7777777777777778], ['cattle', 'royal', 0.7096774193548387], ['sweet', 'way', 0.7272727272727273], ['phase', 'festival', 0.8333333333333334], ['flip', 'bathe', 0.8695652173913043], ['detect', 'religious', 0.3333333333333333], ['crop', 'give', 0.8888888888888888], ['difference', 'first', 0.7692307692307693], ['longer', 'host', 0.8], ['crop', 'give', 0.8888888888888888], ['river', 'drink', 0.7272727272727273], ['pray', 'give', 0.6666666666666666], ['observe', 'celebrated', 1.0], ['god', 'saint', 0.9411764705882353], ['winter', 'festival', 0.7692307692307693], ['mass', 'people', 1.0], ['fields', 'history', 0.875], ['significance', 'fact', 0.75], ['observe', 'celebrated', 1.0], ['ascertained', 'locate', 0.6666666666666666], ['practice', 'employment', 0.9333333333333333]]"
299,"[['resolution', 'assignment', 0.8888888888888888], ['alliance', 'pool', 0.8333333333333334], ['instability', 'field', 0.7142857142857143], ['opportunist', 'host', 0.6666666666666666], ['stability', 'change', 0.6666666666666666], ['party', 'tea', 0.875], ['binding', 'round', 0.8], ['leader', 'leader', 1.0], ['lesson', 'assignment', 0.9], ['brave', 'host', 0.75], ['resistance', 'change', 0.8571428571428571], ['draw', 'pull', 1.0], ['worker', 'host', 0.8], ['choice', 'election', 0.9333333333333333], ['state', 'malta', 0.9411764705882353], ['premier', 'host', 0.631578947368421], ['state', 'malta', 0.9411764705882353], ['polls', 'poll', 1.0], ['voter', 'host', 0.7058823529411765], ['political', 'political', 1.0], ['curate', 'host', 0.6666666666666666], ['pass', 'happen', 1.0], ['right', 'tenure', 0.9], ['opportunist', 'host', 0.6666666666666666], ['restriction', 'round', 0.7777777777777778], ['exude', 'give', 0.8888888888888888], ['component', 'round', 0.8888888888888888], ['regard', 'expect', 0.8888888888888888], ['amusing', 'host', 0.8], ['go', 'travel', 1.0], ['timer', 'round', 0.7619047619047619], ['tenure', 'tenure', 1.0], ['expose', 'herald', 0.8333333333333334], ['formation', 'transition', 0.8421052631578947], ['party', 'tea', 0.875], ['people', 'mass', 1.0], ['power', 'marks', 0.9090909090909091], ['work', 'assignment', 0.875], ['development', 'change', 0.9230769230769231], ['state', 'malta', 0.9411764705882353], ['unknown', 'field', 0.8333333333333334], ['assorted', 'connect', 0.6666666666666666], ['despairing', 'political', 0.5], ['cell', 'pull', 0.8235294117647058], ['election', 'election', 1.0], ['regenerate', 'change', 0.75], ['inspiration', 'pull', 0.9333333333333333], ['brief', 'assignment', 0.875], ['government', 'field', 0.8235294117647058], ['choose', 'field', 0.8], ['feel', 'congress', 0.8], ['document', 'platform', 0.9230769230769231], ['describe', 'marks', 0.8], ['emerge', 'political', 0.5], ['convention', 'congress', 0.8571428571428571], ['administration', 'tenure', 0.9333333333333333], ['result', 'event', 1.0], ['mention', 'marks', 0.7692307692307693], ['serve', 'travel', 0.7619047619047619], ['challenge', 'request', 0.9090909090909091], ['ways', 'route', 0.9230769230769231], ['state', 'malta', 0.9411764705882353], ['vision', 'lemon', 0.8]]"
